Player,Age,XP%
Justin Tucker*,33,96.90%
Ryan Succop,36,96.00%
Jason Myers*,31,97.60%
Daniel Carlson+,27,97.20%
Nick Folk,38,91.40%
Younghoe Koo,28,94.30%
Greg Zuerlein,35,96.60%
Brandon McManus,31,92.60%
Chase McLaughlin,26,100.00%
Riley Patterson,23,97.30%
Eddy Pineiro,27,93.80%
Greg Joseph,28,87.00%
Brett Maher,33,94.30%
Robbie Gould,40,98.00%
Jason Sanders,27,93.20%
Cade York,21,94.60%
Graham Gano,35,94.10%
Tyler Bass,25,96.00%
Wil Lutz,28,100.00%
Ka'imi Fairbairn,28,100.00%
Matt Gay,28,96.90%
Joey Slye,26,85.70%
Evan McPherson,23,90.90%
Mason Crosby,38,94.90%
Michael Badgley,27,100.00%
Chris Boswell,31,100.00%
Matt Prater,38,94.40%
Harrison Butker,27,92.70%
Jake Elliott,27,96.20%
Cairo Santos,31,84.40%
Cameron Dicker,22,100.00%
Randy Bullock,33,100.00%
Matthew Wright,26,100.00%
Dustin Hopkins,32,100.00%
Matt Ammendola,26,71.40%
Austin Seibert,26,100.00%
Rodrigo Blankenship,25,80.00%
Caleb Shudak,25,100.00%
Taylor Bertolet,30,100.00%
Tristan Vizcaino,26,100.00%
Nick Sciba,23,100.00%
Dominik Eberle,26,50.00%
Josh Lambo,32,75.00%
Justin Reid,25,50.00%
Mitch Wishnowsky,30,50.00%